model,rmse,mae,r2
RandomForest,3.5949896178346865,2.2708201754385957,0.83739237603467
XGBoost,3.2202104113246888,2.0655294004239537,0.8695289605083423
LightGBM,4.287493302290984,2.366539271424191,0.76871230278054
CatBoost,3.3162019699644123,2.005119445516038,0.861634579002891
