model,rmse,mae,r2
RandomForest,309510.48000830517,161680.97473343444,0.7475847319800859
XGBoost,302768.71526612074,158600.54485763377,0.7584612028111306
LightGBM,300302.6019740839,157208.1166250448,0.7623799441713425
CatBoost,302951.77831461857,162103.2687646811,0.7581690313038099
