model,accuracy,f1,roc_auc
RandomForest,0.8453731343283583,0.8425531914893617,0.9183161452093882
XGBoost,0.8465671641791045,0.8416512630930376,0.921056619309978
LightGBM,0.8531343283582089,0.8501827040194885,0.9237556360558903
CatBoost,0.8507462686567164,0.8462484624846248,0.9267791638194518
