model,accuracy,f1,roc_auc
RandomForest,0.9995552642666542,0.8592592592592593,0.9690533949819262
XGBoost,0.9995786714105145,0.8695652173913043,0.9661854806410237
LightGBM,0.9988998642385656,0.6887417218543046,0.8049254234538423
CatBoost,0.9995084499789336,0.8444444444444444,0.9657152580267381
